"Dist Code","Year","State Code","State Name","Dist Name","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)"
"1","1980","14","Chhattisgarh","Durg","515.6","812.1","33.6","761.9","2.8","933.33","0.1","1000.0"
"1","1981","14","Chhattisgarh","Durg","506.9","804.6","23.6","568.67","3.0","1000.0","0.1","1000.0"
"1","1982","14","Chhattisgarh","Durg","513.3","817.49","23.9","581.51","3.1","1033.33","0.2","2000.0"
"1","1983","14","Chhattisgarh","Durg","711.0","1134.51","20.6","516.29","3.7","1233.33","0.3","1500.0"
"1","1984","14","Chhattisgarh","Durg","563.8","891.81","19.9","491.36","4.1","1138.89","0.5","1666.67"
"1","1985","14","Chhattisgarh","Durg","699.8","1109.38","21.0","532.99","3.0","789.47","0.3","1000.0"
"1","1986","14","Chhattisgarh","Durg","525.0","816.49","24.0","648.65","3.0","750.0","0.5","1250.0"
"1","1987","14","Chhattisgarh","Durg","523.0","807.1","23.0","534.88","3.0","750.0","0.3","3000.0"
"1","1988","14","Chhattisgarh","Durg","549.7","842.19","20.2","462.24","4.0","1052.63","0.5","2500.0"
"1","1989","14","Chhattisgarh","Durg","457.3","692.67","22.7","518.26","4.8","1297.3","0.7","1750.0"
"1","1990","14","Chhattisgarh","Durg","806.8","1181.43","24.8","685.08","3.8","950.0","0.1","1428.57"
"1","1991","14","Chhattisgarh","Durg","773.6","1136.31","21.6","620.69","3.5","921.05","0.9","1956.52"
"1","1992","14","Chhattisgarh","Durg","777.3","1129.8","20.5","365.42","6.0","1363.64","0.6","1714.29"
"1","1993","14","Chhattisgarh","Durg","876.7","1246.02","23.8","704.14","4.2","1105.26","0.8","1777.78"
"1","1994","14","Chhattisgarh","Durg","967.9","1331.73","29.4","805.48","4.3","895.83","0.7","1750.0"
"1","1995","14","Chhattisgarh","Durg","1052.0","1454.44","26.5","714.29","5.6","1333.33","0.8","1600.0"
"1","1996","14","Chhattisgarh","Durg","917.2","1290.2","29.1","803.87","4.1","1281.25","1.1","1833.33"
"1","1997","14","Chhattisgarh","Durg","837.5","1138.37","18.3","514.04","3.2","914.29","0.9","1875.0"
"1","1998","14","Chhattisgarh","Durg","684.62","870.45","24.84","621.62","5.68","1012.65","2.27","1939.21"
"1","1999","14","Chhattisgarh","Durg","963.04","1251.04","0.0","0.0","4.98","1307.44","3.43","3340.34"
"1","2000","14","Chhattisgarh","Durg","467.89","624.89","17.59","588.19","3.12","792.52","0.17","178.83"
